205,74,74
204,102,102
188,93,88
255,83,73
253,94,83
253,124,110
253,188,180
255,110,74
255,160,137
234,126,93
180,103,77
165,105,79
255,117,56
255,127,73
221,148,117
255,130,67
255,164,116
159,129,112
205,149,117
239,205,184
214,138,89
222,170,136
250,167,108
255,207,171
255,189,136
253,217,181
255,163,67
239,219,197
255,182,83
231,198,151
138,121,93
250,231,181
255,207,72
252,217,117
253,219,109
252,232,131
240,232,145
236,234,190
186,184,108
253,252,116
253,252,116
255,255,153
197,227,132
178,236,93
135,169,107
168,228,160
29,249,20
118,255,122
113,188,120
109,174,129
159,226,191
28,172,120
48,186,143
69,206,162
59,176,143
28,211,162
23,128,109
21,128,120
31,206,203
120,219,226
119,221,231
128,218,235
65,74,76
25,158,189
28,169,201
29,172,214
154,206,235
26,72,118
25,116,210
43,108,196
31,117,254
197,208,230
176,183,198
93,118,203
162,173,208
151,154,170
173,173,214
115,102,189
116,66,200
120,81,169
157,129,186
146,110,174
205,164,222
143,80,157
195,100,197
251,126,253
252,116,253
142,69,133
255,29,206
255,29,206
255,72,208
230,168,215
192,68,143
110,81,96
221,68,146
255,67,164
246,100,175
252,180,213
255,188,217
247,83,148
255,170,204
227,37,107
253,215,228
202,55,103
222,93,131
252,137,172
247,128,161
200,56,90
238,32,77
255,73,108
239,152,170
252,108,133
252,40,71
255,155,170
203,65,84
237,237,237
219,215,210
205,197,194
149,145,140
35,35,35
